S1,S2,S3,S4,T1,T2,T3,T4
6330,6282,6119,5425,4474,4498,4590,4450
6652,6719,6333,5677,4785,5159,4987,4968
6009,5925,5638,4787,4309,4299,4539,4077
6611,6578,6314,5563,4914,5245,5179,5003
6604,6559,6259,5600,4885,5129,5235,5053
6791,6724,6466,5632,4808,5059,5180,4933
6396,6458,6109,5426,3757,4203,4188,4299
3938,3987,4123,3695,4476,4514,4604,4348
6156,5930,5854,5028,5048,5233,5259,5043
6812,6797,6472,5634,4867,5140,5256,5074
6586,6557,6332,5598,4933,5153,5320,5100
5838,5981,5731,5262,4713,4972,5019,4953
3958,4254,4174,3893,4363,4719,4627,4538
5872,5838,5688,5052,4983,5240,5277,5123
5695,5795,5595,5177,4766,5080,5155,5060
4445,4745,4957,4798,3998,4325,4611,4728
2990,3018,3154,3087,3014,3274,3749,3756
3886,4010,4388,3799,4185,4446,4658,4407
3841,4045,4071,4004,3893,4301,4545,4640
3668,3787,3998,3745,3870,3932,4128,3935
5495,5397,5120,4395,4278,4538,4559,4377
835,993,676,2379,1626,1730,1483,2649
5849,6112,6105,5618,3589,3461,3461,4112
5032,5322,5392,5123,2698,2239,2506,3339
5927,6127,6056,5412,4630,4988,5219,4983
6174,6407,6414,5827,4020,4104,4185,4573
5017,5459,5378,5154,3065,2708,2529,3663
3581,4119,4190,4212,2810,2504,2661,3468
4771,4540,4356,3995,3348,3325,3114,3555
4934,4907,4517,4060,3338,3396,3487,3476
6257,6486,6494,5833,4696,5085,5326,5110
